title,year,rank_in_year,macro_categoria,animation_studios
Inuyasha,2000,1,Fantasía / Acción / Aventura,"Kyoto Animation, Sunrise"
Hajime no Ippo: THE FIGHTING!,2000,2,Otros Géneros,MADHOUSE
Yu☆Gi☆Oh! Duel Monsters,2000,3,Fantasía / Acción / Aventura,Studio Gallop
Gakkou no Kaidan,2000,4,Otros Géneros,Studio Pierrot
Love Hina,2000,5,Otros Géneros,Xebec
Boogiepop wa Warawanai: Boogiepop Phantom,2000,6,Otros Géneros,"MADHOUSE, Triangle Staff"
Digimon Adventure 02,2000,7,Híbrido (Acción + Sci-Fi),Toei Animation
Gravitation,2000,8,Otros Géneros,"Studio DEEN, Ashi Productions"
NieA Under 7,2000,9,Sci-Fi / Mecha Puro,"Triangle Staff, SynergySP"
Vandread,2000,10,Híbrido (Acción + Sci-Fi),GONZO
Tottoko Hamtarou,2000,11,Fantasía / Acción / Aventura,TMS Entertainment
Gensou Maden Saiyuuki,2000,12,Fantasía / Acción / Aventura,"Group TAC, Studio Pierrot"
Ayashi no Ceres,2000,13,Fantasía / Acción / Aventura,Studio Pierrot
Argento Soma,2000,14,Híbrido (Acción + Sci-Fi),Sunrise
Seikai no Senki,2000,15,Híbrido (Acción + Sci-Fi),Sunrise
Sakura Taisen,2000,16,Híbrido (Acción + Sci-Fi),MADHOUSE
Yami no Matsuei,2000,17,Fantasía / Acción / Aventura,J.C.STAFF
Ojamajo Doremi Sharp,2000,18,Fantasía / Acción / Aventura,Toei Animation
HAND MAID May,2000,19,Sci-Fi / Mecha Puro,"TNK, Ashi Productions"
Enmusubi no Youko-chan,2000,20,Otros Géneros,Haoliners Animation
Brigadoon: Marin to Melan,2000,21,Híbrido (Acción + Sci-Fi),Sunrise
Kazemakase Tsukikage Ran,2000,22,Fantasía / Acción / Aventura,MADHOUSE
Daa! Daa! Daa!,2000,23,Sci-Fi / Mecha Puro,J.C.STAFF
Gate Keepers,2000,24,Híbrido (Acción + Sci-Fi),GONZO
BOYS BE ...,2000,25,Otros Géneros,Hal Film Maker
Medarot Damashii,2000,26,Híbrido (Acción + Sci-Fi),"Production I.G, Trans Arts"
Megami Kouhosei,2000,27,Híbrido (Acción + Sci-Fi),Xebec
Monster Farm: Legend e no Michi,2000,28,Fantasía / Acción / Aventura,TMS Entertainment
Shoubushi Densetsu Tetsuya,2000,29,Otros Géneros,Toei Animation
Mushrambo,2000,30,Híbrido (Acción + Sci-Fi),Toei Animation
